Covidence #,Study ID,Title,Reviewer Name,Authors,Publication date,Journal,Inclusion criteria,Did the study use any of the following approaches (typical signals of a causal question)?,Causal interpretation,Type of study design,Was the size of the inception sample* for the research question of interest available or able to be established?,What was the size of the inception sample*?,"Was there a reduction in participants from the inception sample to the analysis sample due to non-response or missing data in a variable used in the analysis (exposure, outcome, covariates)?",What was the size of the analysis sample*?,Was the percentage of complete cases* available or able to be established?,Percentage of complete cases / upper bound on the percentage of complete cases,What was the exposure?,Were there missing values in the exposure?,Percentage of missing values in the exposure / lower bound on the percentage of missing values in the exposure,What was the outcome?,Were there missing values in the outcome?,Percentage of missing values in the outcome / lower bound on the percentage of missing values in the outcome,Were there missing values in the covariates?,Was a statement provided about what missingness assumptions were made?,Were missingness assumptions justified?,Details of justification for missingness assumptions,Did authors address the potential for data to be MNAR?,Primary method of analysis,Was the primary analysis justified on the basis of missingness assumptions?,Details of justification for primary analysis on the basis of missingness assumptions.,Was a secondary analysis that handles missing data differently used to answer the same causal question?,Was the secondary analysis justified?,"If a delta-adjusted analysis was used, was external information incorporated in the analysis?","If a delta-adjusted analysis was used, provide details of the delta-adjusted analysis",What method was used for multiple imputation?,What software was used for multiple imputation?,Number of imputations used in the multiple imputation procedure,Were all analysis variables included in the imputation model?,Were auxiliary variables included in the imputation model?,Were interactions included in the imputation model?,"If results were obtained using both a CCA and MI, did the authors observe any substantial difference between these?","If results were obtained using both a CCA and MI, AND no substantial difference between these two sets of results was observed, was any interpretation or explanation provided for the similarities between the two sets of results? If so, what was the interpretation or explanation?",Any other comments?
283,Shiba 2019,Long-Term Associations Between Disaster Experiences and Cardiometabolic Risk: A Natural Experiment From the 2011 Great East Japan Earthquake and Tsunami,Rheanna Mainzer,Shiba,Mar-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Continued health checkups and supports for victims who lost homes should be considered to maintain their cardiometabolic health,Prospective longitudinal study,Yes,8576,"Yes, both non-response and missing data in an analysis variable",1195,Able to establish an upper bound only,88%,"Housing damage (no damage, partial damage, minor damage, major damage, complete destruction)",Yes,2%,"Systolic Blood Pressure, mmHg",No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,Biomarker data were available only for persons who voluntarily participated in the health checkups so there was a possibility of selection bias. Data were compared between the whole panel sample and the analytical sample with biomarker data.,"Yes, but only as a study limitation",Other: Inverse probability weighting combined with multiple imputation for missing covariates,Yes,IPSW: to address possibility of selection bias because biomarker data were available only for persons who voluntarily participated in the health checkups; MI for missing information on covariates used in the study,"Other: Yes, CCA. Not clear whether IPSW was used.",No,NA ,NA,MICE,R,20,Unclear,Unclear,Unclear,No,"No - CCA ""replicated the same association between home loss and deteriorated cardiometabolic risk factors, suggesting that our results were robust""","- ""After exclusion of persons who did not participate in the 2010 [baseline] and/or 2013 [outcome] health checkup, a total of 1,195 subjects were linked to the JAGES [cohort study] panel data and used for these analyses.""
- From the limitations section: ""the assumption of missingness at random may not hold for out multiple imputation procedure for handling missing data."""
282,Shiba 2020,Cardiometabolic Profiles and Change in Neighborhood Food and Built Environment Among Older Adults: A Natural Experiment,Rheanna Mainzer,Shiba,Nov-20,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Although our study could not identify what aspect of such exposure was particularly ""toxic"", our findings, taken in context with the existing literature, are consistent with the hypothesis that greater proximity to unhealthy food outlets may have a net adverse impact on cardiometabolic profiles, even if the move is simultaneously accompanied by improved physical activity-promoting built enviornment.",Prospective longitudinal study,Yes,8576,"Yes, both non-response and missing data in an analysis variable",2117,Able to establish an upper bound only,93%,"Urban density (low, middle, high)",No,NA,Systolic blood pressure,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,"No - ""Multiple imputation for missing data in covariates was performed using [...], which is based on bootstrapping-based algorithm and appropriately handles missing data imputation of panel data.""",No,NA,NA ,NA,Other,R,20,Unclear,Unclear,Unclear,NA,NA,"- Leveraging cohort data before and after earthquake for natural experiment
- ""Multiple imputation for missing data in covariates was performed using the R package Amelia II, which is based on a bootstrapping-based algorithm and appropriately handles missing data imputation of panel data""
- There were 4,542 person-wave observations across 3 waves of data collection. Table 2 reports 2,117 participants (with linked data). Missing data calculations based for the extraction done using the number of person-wave observations.
- Analytical sample reduced to those with data available on exposure and outcome"
280,Sellers 2020,Using a cross-cohort comparison design to test the role of maternal smoking in pregnancy in child mental health and learning: evidence from two UK cohorts born four decades apart,Rheanna Mainzer,Sellers,Feb-20,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Evidence is consistent with a causal effect of maternal smoking on child birth weight, but links between maternal smoking and child conduct problems, hyperactivity and reading are likely influenced by confounding.",Individual patient data (IPD) meta-analysis / pooled cohort analysis,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",NA,No,~79%,Maternal smoking during pregnancy (yes/no),Unclear,NA,Child conduct problems (SDQ score ranging from 0 to 10),Unclear,NA,Unable to establish,No,No,NA,"Other: Study limitation: ""there was some missing data, which was more pronounced for children from more deprived family backgrounds. To address this problem, we used sample-specific attrition weights to correct for selective non-response.""","Other: MI for calibration of outcomes across datasets, inverse probability response weighting ",Yes,Inverse probability weighting was used to account for patterns of non-response and also to correct for the stratified cluster sample design (MI was used to reflect uncertainty in the calibrated values),No,NA,NA ,NA,Unclear,Stata,20,Unclear,Unclear,Unclear,NA,NA,"- Study used data from 2 national UK cohorts, born in 1958 and 2000/01
- Results reported separately by sex, considered the research question for male for this review
- ""Analyses were conducted with 12415 families (49% girls) with data available at birth and age 7 years"" .... ""Analyses included 11800 families (51% girls) with available data on predictors and outcome variables""
- Multiple imputation used to calibrate outcome measure (child conduct and hyperactivity problems) between cohorts. This is a non-standard use of MI.
- Difficult to find actual sample size for research question. Participant characteristics not summarised in table form. Table 2 note ""values of n are based on weighted proportions where data is available on all key outcomes"".
- Exclude? MI not used to handle missing data. Used for calibration of cohort data,"
277,Schwartz 2021,Health Selection Into Eviction: Adverse Birth Outcomes and Children’s Risk of Eviction Through Age 5 Years,Rheanna Mainzer,Schwartz,Jan-21,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Children experiencing adverse birth outcomes are vulnerable to eviction and require additional supports.... policies that support families and low-income workers [...] could make birth-related costs more manageable, protecting children from harm.",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",2115,Able to establish an upper bound only,78%,"Born preterm and/or low birthweight, or not.","Yes, but unable to establish the percentage of missing values",<3%,Eviction from rental housing during early childhood (yes/no),No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","Other: MI using the full analysis sample, combined with IPSW",Yes,"Inverse probability of selection weights were used to account for loss to follow-up, multiple imputation enabled accounting for missing exposure and covariate data",No,NA,NA ,NA,MICE,Stata,Not reported,Unclear,Unclear,Unclear,NA,NA,"- Survival analysis. Participants were considered censored for any wave in which they had missing data on eviction or did not participate in data collection, as well as all future waves... censoring because of missing eviction data was rare (n = 33) compared with 601 participants censored because of general nonparticipation.
- Addressed selection bias due to sample selection: ""by limiting our data to the approximately 75% of participants with extracted medical records, it is possible that we have limited generalizability. The magnitude of differences between mothers whose medical records were extracted and those whose medical records were not were small, but excluded mothers were slightly less poor, slightly better educated, and slightly less likely to be White and more like to be Hispanic."""
275,Schuch 2019,The Controlled Direct Effect of Early-Life Socioeconomic Position on Periodontitis in a Birth Cohort,Rheanna Mainzer,Schuch,Mar-19,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,The study findings support the hypothesis that early-life SEP has a direct effect on periodontitis in adulthood.,Prospective longitudinal study,Yes,900,"Yes, non-response",888,Able to establish an upper bound only,55%,"Early-life socioeconomic position (SEP, relatively poorer vs middle and relatively richer)",Unclear,NA,"Periodontitis (healthy/no, mild, moderate-to-severe) ",Yes,39%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","Other: MI, unclear whether full analysis sample or reduced analysis sample (n = 539) was used.",No,No - MI used to deal with missing data,"Yes, unweighted CCA",No,NA ,NA,MICE,Unclear,Not reported,Unclear,Unclear,Unclear,No,NA - authors did not comment on this,"- A random sample of 900 (/5914 in birth cohort) were invited to take part in a 1997 oral health study (OHS-97). 888 completed OHS-97.
- Missing data only summaries for 539 individuals who participated in OHS-13. I am assuming imputation was for n = 888, but this is not clear.
- ""The cross-comparison of the follow-up sample and the original birth cohort demonstrated the representativeness of the follow-up sample and reinforced the internal consistency of our study, showing that the likelihood of selection bias was low."""
273,Schliep 2019,Preconception Perceived Stress Is Associated with Reproductive Hormone Levels and Longer Time to Pregnancy,Rheanna Mainzer,Schliep,Nov-19,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Preconception perceived stress appears to adversely affect sex steroid synthesis and time to pregnancy. Mechanisms likely include the effects of stress on ovulatory function, but additional mechanisms, potentially during implantation, may also exist.",Prospective longitudinal study,Yes,1228,No,1228,Yes,92%,Perceived stress in first 6 menstrual cycles,Yes,8%,Time to pregnancy,Yes,10%,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Other: Yes, MI to address missing exposure and covariate data, assuming data were missing at random. Additionally, three sensitivity analyses performed to handle 128 women with missing outcome: a plausible Kaplan-Meier-based imputation (""a missing at random-like principled approach""), and two extreme scenarios that were 1) achieve pregnancy in 1 cycle after withdrawal, 2) no pregnancy after 6 cycles.","Other: Yes, given the potential for selection bias / to investigate selection bias",NA ,NA,Other,SAS,Not reported,Unclear,Unclear,Unclear,No,"No - Multiple imputation to address missing exposure and covariate data revealed no substantial changes for the fully adjusted model. Additionally, multiple imputation to address missing exposure, covariate and outcome data also did not appreciably alter estimates. The results of the Kaplan-Meier-based imputation are similar to the complete case results for perceived stress implying that plausible outcomes of withdrawals are unlikely to have substantively changed our results. Moreover, the two extreme cases for potential outcomes of withdrawals also resulted in largely similar results, further supporting the robustness of our findings.","- Time to event analysis
- ""while there was no clear relationship between women who withdrew or were lost to follow-up in either our primary exposure or outcome, to minimize concern regarding selection bias, we performed several sensitivity analyses to account for missingness [...] with no appreciable alterations in our estimates"" - not sure how this was assessed for outcome
- Multiple imputation used to address missing exposure and covariate data (no further detail given on implementation). Additionally, ""the survival probability of no pregnancy achieved derived from the complete cases using Kaplan-Meier multiple imputation (600 imputations)"", +single imputation of extreme values (2 scenarios) "
269,Sato 2020,Postdisaster Changes in Social Capital and Mental Health: A Natural Experiment From the 2016 Kumamoto Earthquake,Rheanna Mainzer,Sato,Mar-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"In contrast to social cohesion, high levels of social participation at the community level were positively associated with the risk of depression among women. Policy-makers should pay attention to sex differences and types of social capital when leveraging social capital for recovery from disasters. ",Prospective longitudinal study,Yes,2000,"Yes, both non-response and missing data in an analysis variable",828,Able to establish an upper bound only,78%,Social capital (standardised scale score),Yes,3%,Major depressive episode (MDE),Unclear,Not reported,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,"NA, although authors did compare characteristics of responders and non-responders","No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,Yes,MI was adopted under the missing-at-random assumption,No,NA,NA ,NA,MVNI,Stata,20,Yes,No,No,NA,NA,"- Imputed data used in Table 1
- 646/828 participants with data on income (complete cases)
- MNAR not addressed, but authors comment on potential selection bias in limitations: persons lost to follow-up were more likely to be male, old, less educated, depressed at baseline, and not married and to have lower scores for social capital as compared with those who completed the 2 waves of the survey.
- Note: Social capital items included in imputation model rather than scale score that was used for analysis"
266,Sangaramoorthy 2019,A Pooled Analysis of Breastfeeding and Breast Cancer Risk by Hormone Receptor Status in Parous Hispanic Women,Rheanna Mainzer,Sangaramoorthy,May-19,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"These findings suggest that breast-feeding may reduce elevated breast cancer risk in women who have their first child at older ages... Given the high incidence of breast cancer in Hispanic women and other populations, lifestyle behaviors that are modifiable, like breast-feeding, is important to breast cancer prevention.",Other: Pooled data analysis (data from case-control and cohort studies),Yes,6002,"Yes, both non-response and missing data in an analysis variable",5957,Able to establish an upper bound only,90%,Lifetime duration of breast feeding,No,NA,Breast cancer ,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,Unclear,SAS,20,Unclear,Unclear,Unclear,NA,NA,
265,Salmon 2021,Marital status and prostate cancer incidence: a pooled analysis of 12 case–control studies from the PRACTICAL consortium,Rheanna Mainzer,Salmon,Jul-21,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Should the current results be confirmed, they can provide new insights for prostate cancer prevention by targeting vulnerable populations, such as widowed men, and reducing health disparities through social support intervention.",Other: IPD / pooled case-control analysis,Yes,NA,"Yes, missing data in an analysis variable",48819,Able to establish an upper bound only,54,"Marital status (married/partner, divorced/separated, single, widowed)",Yes,55,Prostate cancer,No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"Other: Unclear, as a limitation authors compare study participants with those excluded from analysis",MI using a reduced analysis sample,Yes,"Assuming that missing data were missing at random, multiple imputations were performed","Other: Yes, CCA (without imputation for covariates) and restricting analysis sample to 6 studies with <25% of missing values for exposure","Yes, as a sensitivity analysis to examine the influence of missing data",NA ,NA,Unclear,Other: SAS or R,3,Unclear,Unclear,Unclear,No,"No: ""analyses using complete sets of data, without imputations for covariates, yielded similar results""","- ""Overall, 57 studies agreed to contribute their data to the present analysis. We excluded 34 studies that had more than 90% missing data on marital status."" From these 34, only case-control studies were included (n = 12)
- Analysis excluded participants with missing marital status (exposure, 45%) and addressed missing data in covariates <3%
- As a sensitivity analysis, analysis sample was restricted to the 6 case-control studies with less than 25% missing values in exposure"
261,Rudolph 2020,Using Transportability to Understand Differences in Mediation Mechanisms Across Trial Sites of a Housing Voucher Experiment,Katherine Lee,Rudolph,Jul-20,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our objective is to examine transportability of the indirect effects of Section 8 housing voucher receipt and use on mental health, substance use, and risk behavior outcomes ",Other: Randomised trial,Yes,6308,,4350,Able to establish an upper bound only,88%,Treatment assignment,No,NA,mental health - first one = any past externalising disorders,Yes,6-12%,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",Other: MI and survey weights to account for loss to follow-up,No,NA,No,NA,NA ,NA,MICE,R,30,Yes,Yes,Unclear,NA,NA,
261,Rudolph 2020,Using Transportability to Understand Differences in Mediation Mechanisms Across Trial Sites of a Housing Voucher Experiment,Rheanna Mainzer,Rudolph,Jul-21,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding,"Attending a lower-poverty school appeared to mediate the relationship between voucher receipt and development of a DSM-IV disorder, and although the site-specific indirect effects differed substantially, those differences were accounted for by differences in the distribution of individual- and family-level demographics, adherence, and mediator distributions across sites",Other: Mediation analysis using follow-up of RCT,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, non-response",4343,Able to establish an upper bound only,88,Having ever attended a school ranked above the 50th percentile (yes/no),Unclear,NA,Any past-year externalizing disorder (yes/no),Unclear,NA,Unable to establish,"Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",Other: MI using the full analysis sample and survey weights,No,NA,No,No,No or not stated,NA,MICE,R,30,Yes,Yes,No,NA,NA,Should we include? Mediation analysis where exposure was randomised. 
261,Rudolph 2020,Using Transportability to Understand Differences in Mediation Mechanisms Across Trial Sites of a Housing Voucher Experiment,Consensus,Rudolph,Jul-20,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Attending a lower-poverty school appeared to mediate the relationship between voucher receipt and development of a DSM-IV disorder, and although the site-specific indirect effects differed substantially, those differences were accounted for by differences in the distribution of individual- and family-level demographics, adherence, and mediator distributions across sites",Other: Mediation analysis using follow-up of RCT,"Other: Analysis stratified by site and sex, so inception sample for sub-populations NA. Sample size for trial was clear.",6308,"Yes, non-response",4343,Able to establish an upper bound only,88%,Treatment assignment (voucher vs no intervention),No,NA,Any past-year externalizing disorder (yes/no),Yes,6,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",Other: Other MI using the full analysis sample and survey weights,No,NA,No,NA,NA ,NA,MICE,R,30,Yes,Yes,No,NA,NA,Missing values in mediator. Mediator considered was high-quality school.
260,Rudolph 2021,Helped into Harm: Mediation of a Housing Voucher Intervention on Mental Health and Substance Use in Boys,Rheanna Mainzer,Rudolph,May-21,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"This evidence suggests that, even though the intervention had the desired effects on neighborhood poverty and the school environment, these ""positives"" ultimately negatively impacted the long-term mental health and behaviors of boys.",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",2500,Able to establish an upper bound only,92%,School in baseline district (mediator),Yes,8%,Any past-year diagnostic statistical manual (DSM) disorder,Yes,8%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,R,10,No,Yes,No,NA,NA,"- Follow-up of trial
- Regarding analysis sample size, authors state ""Any reported sample size must be rounded according to a Census internal algorithm""
- Mediation analysis. Intervention was randomised but mediation analysis is considered here.
- We used data from the MTO youth final analytic sample, which includes all youth who were participants at the final time point. Number of boys in original trial not reported.
- ""For the imputed datasets to be congenial with the analyses that follow, all variables and their higher-order terms used in the analyses must be included in the imputation. Unfortunately, this was not possible due to computational limitations, and we used only main effects.""
- Baseline characteristics presented were survey-weighted and using the MI data"
259,Rovio 2020,Childhood Exposure to Parental Smoking and Midlife Cognitive Function: The Young Finns Study,Rheanna Mainzer,Rovio,Apr-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,We conclude that avoiding childhood/adolescence secondhand smoke exposure promotes adulthood cognitive function,Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",1848,Yes,64%,"Parental smoking (no parental smoking, hygienic parental smoking, non-hygienic parental smoking)",No,NA,Cognitive function (episodic memory and associative learning),Yes,31%,"Yes, in 2 or more covariates",No,No,NA,"Other: Limitations: ""as in all longitudinal studies, there was a possibility of differential loss to follow-up in our study. However, the baseline differences between the participants and nonparticipants have been studied previously.""","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Other: Yes, as a sensitivity analysis to overcome the possible bias due to loss to follow-up",NA ,NA,Unclear,SAS,38,Yes,Yes,No,No,"No: ""These results are in line with the results from our main analyses showing systematic and robust associations between parental smoking hygiene and episodic memory and associative learning""","- First cross-sectional analysis of data from YFS study included 3596 children and adolescents in 1980. Not clear how many were eligible (/alive) for the current study.
- Analysis sample limited to those with data on parental smoking AND serum cotinine level, used to create the exposure variable"
256,Rogers 2020,"Birthweight, lifetime obesity and physical functioning in mid-adulthood: a nationwide birth cohort study",Rheanna Mainzer,Rogers,Jun-19,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Study implications include preventing and delaying obesity onset to mitigate the risk of poor functioning in mid-adulthood,Prospective longitudinal study,"Other: No, number of males in inception cohort not provided",NA,"Yes, missing data in an analysis variable",4173,Able to establish an upper bound only,81%,BMI at 7 years,Yes,19%,Poor physical functioning,No,NA,"Yes, in 2 or more covariates",No,No,NA,"Other: Yes, ""there has been attrition of the study sample over time with under-representation of certain groups by mid-adulthood (e.g. those with childhood cognitive and behavioural problems). However respondents in mid-adulthood were broadly representative of the surviving cohort with respect to childhood social class, housing tenure, physical and maternal factors and key adult characteristics ... """,MI using the full analysis sample,Yes,To minimize data loss / to avoid further reductions in the sample due to missing information,"Yes, unweighted CCA",No,NA ,NA,MICE,Unclear,20,Yes,Yes,No,No,"No substantial difference: ""Imputed results were broadly similar to those obtained using observed values; the former are presented""","- Analyses conducted separately by gender. Males considered for this review.
- Analytical sample reduced to those who took part in the 50y survey with a valid measure of physical functioning (outcome)
- number of males with BMI at 7 years appears to be ~ 3387"
255,Rogers 2021,Early-Life Socioeconomic Position and the Accumulation of Health-Related Deficits by Midlife in the 1958 British Birth Cohort Study,Rheanna Mainzer,Rogers,Feb-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Findings suggest that early-life SEP is associated with family and that adult SEP only partially explains this association. Results highlight the importance of improving socioeconomic circumstances across the life course to reduce inequalities in midlife frailty.,Prospective longitudinal study,Yes,18558,"Yes, missing data in an analysis variable",8711,Yes,97%,Early-life SEP (father's occupation at birth) classified into 4 categories.,Yes,3%,"Frailty index (composite score, between 0-1)",No,NA,No,No,No,NA,"Other: As a study limitation: ""Although participants in this study had more favorable early-life and adult SEP compared with those not included, in general the sample remained broadly representative of the original cohort.""",MI using the full analysis sample,Yes,To minimize data loss,No,NA,NA ,NA,MICE,"Other: Unclear, but assume Stata as this was used for  the mediation analysis",20,Yes,Yes,No,NA,NA,"- Following guidelines, outcome (composite score) was calculated if participants had information on at least 30 deficits. Analysis sample restricted to those with complete outcome.
- Sex was the only confounder, of the early-life SES - frailty index relationship. I assumed was completely observed."
254,Robert 2019,Determinants of Transmission Risk During the Late Stage of the West African Ebola Epidemic,Katherine Lee,Robert,Apr-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"need to understand the transmission dynamics of this outbreak, so that interventions can be designed and","Retrospective analysis of routinely collected data (e.g., administrative or EMR data)",Yes,860,,818,Yes; Able to establish an upper bound only,64,Lots of risk factors - first one mentioned = age,Yes,12%,Number of onward transmissions,No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,"We observed different distributions of parameters for cases with unreported features, compared to the complete cases. We performed every comparison using Kolmogorov-Smirnov test. This comparison shows that the data were not Missing Completely At Random, we considered they were Missing At Random (MAR) to perform the analysis.","No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,R,40,Yes,Yes,No,NA,NA,
254,Robert 2019,Determinants of Transmission Risk During the Late Stage of the West African Ebola Epidemic,Rheanna Mainzer,Robert,Apr-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Analyses of these data reveal the key role that older individuals and those that did not seek treatment played in the spread of EVD,Other: Retrospective analysis of linked data collected on cases,Yes,860,No,860,Yes,64,Age (grouped into 5 categories),Yes,12,"Number of reported secondary cases (high transmitters, moderate transmitters, no onward transmission)",No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,Comparison of data between complete and incomplete cases and use of Kolmogorov-Smirnov test to rule out MCAR,"Yes, but only as a study limitation",MI using the full analysis sample,Yes,MI was used because it was assumed that data were MAR,No,Other: NA,NA ,NA,MICE,R,40,Yes,Yes,No,NA,NA,Should we exclude? Unclear question? Seems primarily descriptive and statistical methods are not appropriate.
254,Robert 2019,Determinants of Transmission Risk During the Late Stage of the West African Ebola Epidemic,Consensus,Robert,Apr-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Analyses of these data reveal the key role that older individuals and those that did not seek treatment played in the spread of EVD + need to understand the transmission dynamics of this outbreak so that interventions can be designed,Other: Retrospective analysis of linked data collected on cases,Yes,860,No,860,Yes,64,Age (grouped into 5 categories),Yes,12,"Number of reported secondary cases (high transmitters, moderate transmitters, no onward transmission)",No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,"We observed different distributions of parameters for cases with unreported features, compared to the complete cases. We performed every comparison using Kolmogorov-Smirnov test. This comparison shows that the data were not Missing Completely At Random, we considered they were Missing At Random (MAR) to perform the analysis.","Yes, but only as a study limitation",MI using the full analysis sample,Yes,MI was used because it was assumed that data were MAR,No,NA,NA ,NA,MICE,R,40,Yes,Yes,No,NA,NA,Unclear question? Seems primarily descriptive and statistical methods are not appropriate.
